date,year,week,cases_per_sentinel,fear_index_avg,fear_index_weighted,weekly_deaths,fear_index,dining_index
2022-09-12,2022,37,0.01,3.2,4.133333333333334,32.0,4.133333333333334,26.105263157894736
2022-09-19,2022,38,0.0,3.2,4.2,37.0,4.2,24.105263157894736
2022-09-26,2022,39,0.0,2.8,3.6666666666666665,19.0,3.6666666666666665,25.210526315789473
2022-10-03,2022,40,0.0,2.6,3.333333333333333,28.0,3.333333333333333,26.157894736842106
2022-10-10,2022,41,0.0,2.6,3.466666666666667,32.0,3.466666666666667,25.05263157894737
2022-10-17,2022,42,0.02,3.0,3.933333333333333,40.0,3.933333333333333,27.42105263157895
2022-10-24,2022,43,0.01,3.0,4.0,37.0,4.0,25.42105263157895
2022-10-31,2022,44,0.0,5.8,7.533333333333333,57.0,7.533333333333333,24.105263157894736
2022-11-07,2022,45,0.01,6.2,8.0,100.0,8.0,24.0
2022-11-14,2022,46,0.01,6.0,7.933333333333334,137.0,7.933333333333334,23.68421052631579
2022-11-21,2022,47,0.03,5.6,7.466666666666667,171.0,7.466666666666667,23.526315789473685
2022-11-28,2022,48,0.02,5.8,7.533333333333333,208.0,7.533333333333333,25.263157894736842
2022-12-05,2022,49,0.11,7.2,9.266666666666667,183.0,9.266666666666667,28.63157894736842
2022-12-12,2022,50,0.47,7.2,9.4,174.0,9.4,25.105263157894736
2022-12-19,2022,51,1.76,7.2,9.466666666666669,173.0,9.466666666666669,29.63157894736842
2022-12-26,2022,52,2.88,8.0,10.466666666666669,126.0,10.466666666666669,26.526315789473685
2023-01-02,2023,1,5.72,8.4,11.0,97.0,11.0,25.736842105263158
2023-01-09,2023,2,7.55,5.4,7.066666666666666,88.0,7.066666666666666,24.31578947368421
2023-01-16,2023,3,8.2,3.8,4.933333333333334,73.0,4.933333333333334,23.36842105263158
2023-01-23,2023,4,8.89,3.2,4.133333333333334,73.0,4.133333333333334,22.736842105263158
2023-01-30,2023,5,11.37,2.4,3.1333333333333333,41.0,3.1333333333333333,26.36842105263158
2023-02-06,2023,6,11.96,1.8,2.4,29.0,2.4,27.31578947368421
